run,PauseTime,repetition,Module,nbDataPacketsForwarded
RandomWaypointMobility-SPD-0-4-20211009-16:50:04-20652,0,4,TARPNetwork.node[54].generic.np,295
RandomWaypointMobility-SPD-0-4-20211009-16:50:04-20652,0,4,TARPNetwork.node[40].generic.np,339
RandomWaypointMobility-SPD-0-4-20211009-16:50:04-20652,0,4,TARPNetwork.node[41].generic.np,316
RandomWaypointMobility-SPD-0-4-20211009-16:50:04-20652,0,4,TARPNetwork.node[42].generic.np,438
RandomWaypointMobility-SPD-0-4-20211009-16:50:04-20652,0,4,TARPNetwork.node[43].generic.np,209
RandomWaypointMobility-SPD-0-4-20211009-16:50:04-20652,0,4,TARPNetwork.node[44].generic.np,328
RandomWaypointMobility-SPD-0-4-20211009-16:50:04-20652,0,4,TARPNetwork.node[45].generic.np,386
RandomWaypointMobility-SPD-0-4-20211009-16:50:04-20652,0,4,TARPNetwork.node[46].generic.np,380
RandomWaypointMobility-SPD-0-4-20211009-16:50:04-20652,0,4,TARPNetwork.node[47].generic.np,386
RandomWaypointMobility-SPD-0-4-20211009-16:50:04-20652,0,4,TARPNetwork.node[48].generic.np,375
RandomWaypointMobility-SPD-0-4-20211009-16:50:04-20652,0,4,TARPNetwork.node[49].generic.np,431
RandomWaypointMobility-SPD-0-4-20211009-16:50:04-20652,0,4,TARPNetwork.node[50].generic.np,236
RandomWaypointMobility-SPD-0-4-20211009-16:50:04-20652,0,4,TARPNetwork.node[51].generic.np,420
RandomWaypointMobility-SPD-0-4-20211009-16:50:04-20652,0,4,TARPNetwork.node[52].generic.np,357
RandomWaypointMobility-SPD-0-4-20211009-16:50:04-20652,0,4,TARPNetwork.node[53].generic.np,319
RandomWaypointMobility-SPD-0-4-20211009-16:50:04-20652,0,4,TARPNetwork.node[39].generic.np,456
RandomWaypointMobility-SPD-0-4-20211009-16:50:04-20652,0,4,TARPNetwork.node[55].generic.np,465
RandomWaypointMobility-SPD-0-4-20211009-16:50:04-20652,0,4,TARPNetwork.node[56].generic.np,489
RandomWaypointMobility-SPD-0-4-20211009-16:50:04-20652,0,4,TARPNetwork.node[57].generic.np,465
RandomWaypointMobility-SPD-0-4-20211009-16:50:04-20652,0,4,TARPNetwork.node[58].generic.np,372
RandomWaypointMobility-SPD-0-4-20211009-16:50:04-20652,0,4,TARPNetwork.node[59].generic.np,440
RandomWaypointMobility-SPD-0-20-20211009-16:50:40-20228,0,20,TARPNetwork.node[0].generic.np,299
RandomWaypointMobility-SPD-0-20-20211009-16:50:40-20228,0,20,TARPNetwork.node[1].generic.np,223
RandomWaypointMobility-SPD-0-20-20211009-16:50:40-20228,0,20,TARPNetwork.node[2].generic.np,287
RandomWaypointMobility-SPD-0-20-20211009-16:50:40-20228,0,20,TARPNetwork.node[3].generic.np,362
RandomWaypointMobility-SPD-0-20-20211009-16:50:40-20228,0,20,TARPNetwork.node[4].generic.np,266
RandomWaypointMobility-SPD-0-20-20211009-16:50:40-20228,0,20,TARPNetwork.node[5].generic.np,285
RandomWaypointMobility-SPD-0-20-20211009-16:50:40-20228,0,20,TARPNetwork.node[6].generic.np,167
RandomWaypointMobility-SPD-0-20-20211009-16:50:40-20228,0,20,TARPNetwork.node[7].generic.np,336
RandomWaypointMobility-SPD-0-20-20211009-16:50:40-20228,0,20,TARPNetwork.node[8].generic.np,516
