run,N,repetition,Module,echoedPk:count,echoedPk:sum(packetBytes),packetReceived:count,packetReceived:sum(packetBytes),packets received,packets sent,packetSent:count,packetSent:sum(packetBytes)
RandomWaypointMobility-8-20211009-00:26:23-19888,70,8,TARPNetwork.node[17].app[0],NaN,NaN,949,949000,949,1200,1200,1200000
RandomWaypointMobility-10-20211009-00:16:57-14568,70,10,TARPNetwork.node[22].app[0],1199,1199000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-4-20211009-00:29:44-11528,70,4,TARPNetwork.node[22].app[0],1199,1199000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-7-20211009-00:23:18-19888,70,7,TARPNetwork.node[17].app[0],NaN,NaN,877,877000,877,1200,1200,1200000
RandomWaypointMobility-7-20211009-00:23:18-19888,70,7,TARPNetwork.node[22].app[0],1199,1199000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-4-20211009-00:29:44-11528,70,4,TARPNetwork.node[17].app[0],NaN,NaN,843,843000,843,1200,1200,1200000
RandomWaypointMobility-10-20211009-00:16:57-14568,70,10,TARPNetwork.node[17].app[0],NaN,NaN,848,848000,848,1200,1200,1200000
RandomWaypointMobility-5-20211009-00:16:56-19888,70,5,TARPNetwork.node[22].app[0],1199,1199000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-8-20211009-00:26:23-19888,70,8,TARPNetwork.node[22].app[0],1197,1197000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-6-20211009-00:20:07-19888,70,6,TARPNetwork.node[17].app[0],NaN,NaN,925,925000,925,1200,1200,1200000
RandomWaypointMobility-5-20211009-00:16:56-19888,70,5,TARPNetwork.node[17].app[0],NaN,NaN,968,968000,968,1200,1200,1200000
RandomWaypointMobility-3-20211009-00:26:33-11528,70,3,TARPNetwork.node[17].app[0],NaN,NaN,928,928000,928,1200,1200,1200000
RandomWaypointMobility-1-20211009-00:20:04-11528,70,1,TARPNetwork.node[17].app[0],NaN,NaN,977,977000,977,1200,1200,1200000
RandomWaypointMobility-2-20211009-00:23:28-11528,70,2,TARPNetwork.node[22].app[0],1173,1173000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-2-20211009-00:23:28-11528,70,2,TARPNetwork.node[17].app[0],NaN,NaN,847,847000,847,1200,1200,1200000
RandomWaypointMobility-9-20211009-00:29:28-19888,70,9,TARPNetwork.node[22].app[0],1195,1195000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-6-20211009-00:20:07-19888,70,6,TARPNetwork.node[22].app[0],1153,1153000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-9-20211009-00:29:28-19888,70,9,TARPNetwork.node[17].app[0],NaN,NaN,962,962000,962,1200,1200,1200000
RandomWaypointMobility-11-20211009-00:19:50-14568,70,11,TARPNetwork.node[17].app[0],NaN,NaN,889,889000,889,1200,1200,1200000
RandomWaypointMobility-11-20211009-00:19:50-14568,70,11,TARPNetwork.node[22].app[0],1199,1199000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-3-20211009-00:26:33-11528,70,3,TARPNetwork.node[22].app[0],1199,1199000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-14-20211009-00:29:24-14568,70,14,TARPNetwork.node[17].app[0],NaN,NaN,801,801000,801,1200,1200,1200000
RandomWaypointMobility-12-20211009-00:22:59-14568,70,12,TARPNetwork.node[17].app[0],NaN,NaN,970,970000,970,1200,1200,1200000
RandomWaypointMobility-1-20211009-00:20:04-11528,70,1,TARPNetwork.node[22].app[0],1199,1199000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-13-20211009-00:26:15-14568,70,13,TARPNetwork.node[17].app[0],NaN,NaN,959,959000,959,1200,1200,1200000
RandomWaypointMobility-0-20211009-00:16:57-11528,70,0,TARPNetwork.node[17].app[0],NaN,NaN,971,971000,971,1200,1200,1200000
RandomWaypointMobility-0-20211009-00:16:57-11528,70,0,TARPNetwork.node[22].app[0],1199,1199000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-13-20211009-00:26:15-14568,70,13,TARPNetwork.node[22].app[0],1199,1199000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-12-20211009-00:22:59-14568,70,12,TARPNetwork.node[22].app[0],1189,1189000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-14-20211009-00:29:24-14568,70,14,TARPNetwork.node[22].app[0],1113,1113000,NaN,NaN,NaN,NaN,NaN,NaN
