run,repetition,Module,echoedPk:count,echoedPk:sum(packetBytes),packetReceived:count,packetReceived:sum(packetBytes),packets received,packets sent,packetSent:count,packetSent:sum(packetBytes)
RandomWaypointMobility-DD-26-20211009-17:25:03-16960,26,TARPNetwork.node[17].app[0],NaN,NaN,726,726000,726,900,900,900000
RandomWaypointMobility-DD-26-20211009-17:25:03-16960,26,TARPNetwork.node[22].app[0],895,895000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-13-20211009-17:28:18-21660,13,TARPNetwork.node[17].app[0],NaN,NaN,657,657000,657,900,900,900000
RandomWaypointMobility-DD-13-20211009-17:28:18-21660,13,TARPNetwork.node[22].app[0],880,880000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-2-20211009-17:26:43-18744,2,TARPNetwork.node[17].app[0],NaN,NaN,613,613000,613,900,900,900000
RandomWaypointMobility-DD-2-20211009-17:26:43-18744,2,TARPNetwork.node[22].app[0],877,877000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-18-20211009-17:28:21-14996,18,TARPNetwork.node[17].app[0],NaN,NaN,673,673000,673,900,900,900000
RandomWaypointMobility-DD-18-20211009-17:28:21-14996,18,TARPNetwork.node[22].app[0],871,871000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-7-20211009-17:26:41-21552,7,TARPNetwork.node[17].app[0],NaN,NaN,565,565000,565,900,900,900000
RandomWaypointMobility-DD-7-20211009-17:26:41-21552,7,TARPNetwork.node[22].app[0],795,795000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-22-20211009-17:26:48-17172,22,TARPNetwork.node[17].app[0],NaN,NaN,713,713000,713,900,900,900000
RandomWaypointMobility-DD-22-20211009-17:26:48-17172,22,TARPNetwork.node[22].app[0],876,876000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-20-20211009-17:23:34-17172,20,TARPNetwork.node[17].app[0],NaN,NaN,784,784000,784,900,900,900000
