run,PauseTime,repetition,Module,echoedPk:count,echoedPk:sum(packetBytes),packetReceived:count,packetReceived:sum(packetBytes),packets received,packets sent,packetSent:count,packetSent:sum(packetBytes)
RandomWaypointMobility-DD-13-20211009-17:50:52-20128,50,13,TARPNetwork.node[17].app[0],NaN,NaN,664,664000,664,900,900,900000
RandomWaypointMobility-DD-11-20211009-17:47:58-20128,50,11,TARPNetwork.node[17].app[0],NaN,NaN,616,616000,616,900,900,900000
RandomWaypointMobility-DD-27-20211009-17:56:55-17896,50,27,TARPNetwork.node[17].app[0],NaN,NaN,526,526000,526,900,900,900000
RandomWaypointMobility-DD-27-20211009-17:56:55-17896,50,27,TARPNetwork.node[22].app[0],825,825000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-11-20211009-17:47:58-20128,50,11,TARPNetwork.node[22].app[0],894,894000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-2-20211009-17:49:33-19368,50,2,TARPNetwork.node[17].app[0],NaN,NaN,659,659000,659,900,900,900000
RandomWaypointMobility-DD-5-20211009-17:54:15-19368,50,5,TARPNetwork.node[22].app[0],803,803000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-2-20211009-17:49:33-19368,50,2,TARPNetwork.node[22].app[0],837,837000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-26-20211009-17:55:21-17896,50,26,TARPNetwork.node[22].app[0],883,883000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-26-20211009-17:55:21-17896,50,26,TARPNetwork.node[17].app[0],NaN,NaN,725,725000,725,900,900,900000
RandomWaypointMobility-DD-19-20211009-18:00:18-20128,50,19,TARPNetwork.node[17].app[0],NaN,NaN,723,723000,723,900,900,900000
RandomWaypointMobility-DD-12-20211009-17:49:25-20128,50,12,TARPNetwork.node[22].app[0],899,899000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-19-20211009-18:00:18-20128,50,19,TARPNetwork.node[22].app[0],890,890000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-7-20211009-17:57:21-19368,50,7,TARPNetwork.node[22].app[0],851,851000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-9-20211009-18:00:29-19368,50,9,TARPNetwork.node[22].app[0],899,899000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-12-20211009-17:49:25-20128,50,12,TARPNetwork.node[17].app[0],NaN,NaN,575,575000,575,900,900,900000
RandomWaypointMobility-DD-4-20211009-17:52:38-19368,50,4,TARPNetwork.node[17].app[0],NaN,NaN,723,723000,723,900,900,900000
RandomWaypointMobility-DD-29-20211009-17:59:50-17896,50,29,TARPNetwork.node[17].app[0],NaN,NaN,657,657000,657,900,900,900000
RandomWaypointMobility-DD-29-20211009-17:59:50-17896,50,29,TARPNetwork.node[22].app[0],890,890000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-15-20211009-17:54:02-20128,50,15,TARPNetwork.node[17].app[0],NaN,NaN,667,667000,667,900,900,900000
RandomWaypointMobility-DD-3-20211009-17:51:03-19368,50,3,TARPNetwork.node[22].app[0],880,880000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-3-20211009-17:51:03-19368,50,3,TARPNetwork.node[17].app[0],NaN,NaN,739,739000,739,900,900,900000
RandomWaypointMobility-DD-14-20211009-17:52:22-20128,50,14,TARPNetwork.node[22].app[0],871,871000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-23-20211009-17:50:51-17896,50,23,TARPNetwork.node[22].app[0],805,805000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-28-20211009-17:58:20-17896,50,28,TARPNetwork.node[17].app[0],NaN,NaN,672,672000,672,900,900,900000
RandomWaypointMobility-DD-14-20211009-17:52:22-20128,50,14,TARPNetwork.node[17].app[0],NaN,NaN,750,750000,750,900,900,900000
RandomWaypointMobility-DD-4-20211009-17:52:38-19368,50,4,TARPNetwork.node[22].app[0],899,899000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-20-20211009-17:46:25-17896,50,20,TARPNetwork.node[17].app[0],NaN,NaN,737,737000,737,900,900,900000
RandomWaypointMobility-DD-5-20211009-17:54:15-19368,50,5,TARPNetwork.node[17].app[0],NaN,NaN,642,642000,642,900,900,900000
RandomWaypointMobility-DD-20-20211009-17:46:25-17896,50,20,TARPNetwork.node[22].app[0],899,899000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-13-20211009-17:50:52-20128,50,13,TARPNetwork.node[22].app[0],899,899000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-28-20211009-17:58:20-17896,50,28,TARPNetwork.node[22].app[0],837,837000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-15-20211009-17:54:02-20128,50,15,TARPNetwork.node[22].app[0],824,824000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-24-20211009-17:52:13-17896,50,24,TARPNetwork.node[17].app[0],NaN,NaN,681,681000,681,900,900,900000
RandomWaypointMobility-DD-24-20211009-17:52:13-17896,50,24,TARPNetwork.node[22].app[0],832,832000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-0-20211009-17:46:25-19368,50,0,TARPNetwork.node[17].app[0],NaN,NaN,738,738000,738,900,900,900000
RandomWaypointMobility-DD-18-20211009-17:58:42-20128,50,18,TARPNetwork.node[17].app[0],NaN,NaN,723,723000,723,900,900,900000
RandomWaypointMobility-DD-18-20211009-17:58:42-20128,50,18,TARPNetwork.node[22].app[0],872,872000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-23-20211009-17:50:51-17896,50,23,TARPNetwork.node[17].app[0],NaN,NaN,607,607000,607,900,900,900000
RandomWaypointMobility-DD-8-20211009-17:58:56-19368,50,8,TARPNetwork.node[17].app[0],NaN,NaN,670,670000,670,900,900,900000
RandomWaypointMobility-DD-8-20211009-17:58:56-19368,50,8,TARPNetwork.node[22].app[0],877,877000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-10-20211009-17:46:25-20128,50,10,TARPNetwork.node[17].app[0],NaN,NaN,740,740000,740,900,900,900000
RandomWaypointMobility-DD-10-20211009-17:46:25-20128,50,10,TARPNetwork.node[22].app[0],890,890000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-17-20211009-17:57:08-20128,50,17,TARPNetwork.node[22].app[0],899,899000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-1-20211009-17:47:59-19368,50,1,TARPNetwork.node[17].app[0],NaN,NaN,674,674000,674,900,900,900000
RandomWaypointMobility-DD-1-20211009-17:47:59-19368,50,1,TARPNetwork.node[22].app[0],898,898000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-0-20211009-17:46:25-19368,50,0,TARPNetwork.node[22].app[0],899,899000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-17-20211009-17:57:08-20128,50,17,TARPNetwork.node[17].app[0],NaN,NaN,658,658000,658,900,900,900000
RandomWaypointMobility-DD-21-20211009-17:47:56-17896,50,21,TARPNetwork.node[22].app[0],878,878000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-7-20211009-17:57:21-19368,50,7,TARPNetwork.node[17].app[0],NaN,NaN,720,720000,720,900,900,900000
RandomWaypointMobility-DD-25-20211009-17:53:44-17896,50,25,TARPNetwork.node[17].app[0],NaN,NaN,673,673000,673,900,900,900000
RandomWaypointMobility-DD-25-20211009-17:53:44-17896,50,25,TARPNetwork.node[22].app[0],871,871000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-6-20211009-17:55:46-19368,50,6,TARPNetwork.node[22].app[0],874,874000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-22-20211009-17:49:23-17896,50,22,TARPNetwork.node[17].app[0],NaN,NaN,692,692000,692,900,900,900000
RandomWaypointMobility-DD-22-20211009-17:49:23-17896,50,22,TARPNetwork.node[22].app[0],839,839000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-16-20211009-17:55:37-20128,50,16,TARPNetwork.node[22].app[0],884,884000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-16-20211009-17:55:37-20128,50,16,TARPNetwork.node[17].app[0],NaN,NaN,627,627000,627,900,900,900000
RandomWaypointMobility-DD-21-20211009-17:47:56-17896,50,21,TARPNetwork.node[17].app[0],NaN,NaN,638,638000,638,900,900,900000
RandomWaypointMobility-DD-9-20211009-18:00:29-19368,50,9,TARPNetwork.node[17].app[0],NaN,NaN,756,756000,756,900,900,900000
RandomWaypointMobility-DD-6-20211009-17:55:46-19368,50,6,TARPNetwork.node[17].app[0],NaN,NaN,724,724000,724,900,900,900000
