run,PauseTime,repetition,Module,echoedPk:count,echoedPk:sum(packetBytes),packetReceived:count,packetReceived:sum(packetBytes),packets received,packets sent,packetSent:count,packetSent:sum(packetBytes)
RandomWaypointMobility-SPD-0-25-20211009-16:52:01-20228,0,25,TARPNetwork.node[17].app[0],NaN,NaN,129,129000,129,900,900,900000
RandomWaypointMobility-SPD-0-20-20211009-16:50:40-20228,0,20,TARPNetwork.node[22].app[0],689,689000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-0-20-20211009-16:50:40-20228,0,20,TARPNetwork.node[17].app[0],NaN,NaN,282,282000,282,900,900,900000
RandomWaypointMobility-SPD-0-4-20211009-16:50:04-20652,0,4,TARPNetwork.node[22].app[0],549,549000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-0-4-20211009-16:50:04-20652,0,4,TARPNetwork.node[17].app[0],NaN,NaN,247,247000,247,900,900,900000
RandomWaypointMobility-SPD-0-11-20211009-16:52:33-20652,0,11,TARPNetwork.node[17].app[0],NaN,NaN,195,195000,195,900,900,900000
RandomWaypointMobility-SPD-0-5-20211009-16:50:26-20652,0,5,TARPNetwork.node[17].app[0],NaN,NaN,228,228000,228,900,900,900000
RandomWaypointMobility-SPD-0-1-20211009-16:49:09-20652,0,1,TARPNetwork.node[17].app[0],NaN,NaN,179,179000,179,900,900,900000
RandomWaypointMobility-SPD-0-1-20211009-16:49:09-20652,0,1,TARPNetwork.node[22].app[0],463,463000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-0-11-20211009-16:52:33-20652,0,11,TARPNetwork.node[22].app[0],475,475000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-0-15-20211009-16:48:54-20228,0,15,TARPNetwork.node[17].app[0],NaN,NaN,377,377000,377,900,900,900000
RandomWaypointMobility-SPD-0-15-20211009-16:48:54-20228,0,15,TARPNetwork.node[22].app[0],621,621000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-0-12-20211009-16:52:50-20652,0,12,TARPNetwork.node[22].app[0],698,698000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-0-12-20211009-16:52:50-20652,0,12,TARPNetwork.node[17].app[0],NaN,NaN,207,207000,207,900,900,900000
RandomWaypointMobility-SPD-0-25-20211009-16:52:01-20228,0,25,TARPNetwork.node[22].app[0],647,647000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-0-7-20211009-16:51:10-20652,0,7,TARPNetwork.node[17].app[0],NaN,NaN,117,117000,117,900,900,900000
RandomWaypointMobility-SPD-0-8-20211009-16:51:32-20652,0,8,TARPNetwork.node[17].app[0],NaN,NaN,238,238000,238,900,900,900000
RandomWaypointMobility-SPD-0-8-20211009-16:51:32-20652,0,8,TARPNetwork.node[22].app[0],518,518000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-0-17-20211009-16:49:41-20228,0,17,TARPNetwork.node[22].app[0],276,276000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-0-13-20211009-16:53:15-20652,0,13,TARPNetwork.node[17].app[0],NaN,NaN,271,271000,271,900,900,900000
RandomWaypointMobility-SPD-0-17-20211009-16:49:41-20228,0,17,TARPNetwork.node[17].app[0],NaN,NaN,155,155000,155,900,900,900000
RandomWaypointMobility-SPD-0-2-20211009-16:49:26-20652,0,2,TARPNetwork.node[22].app[0],509,509000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-0-2-20211009-16:49:26-20652,0,2,TARPNetwork.node[17].app[0],NaN,NaN,216,216000,216,900,900,900000
RandomWaypointMobility-SPD-0-21-20211009-16:50:59-20228,0,21,TARPNetwork.node[22].app[0],391,391000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-0-21-20211009-16:50:59-20228,0,21,TARPNetwork.node[17].app[0],NaN,NaN,216,216000,216,900,900,900000
RandomWaypointMobility-SPD-0-6-20211009-16:50:51-20652,0,6,TARPNetwork.node[17].app[0],NaN,NaN,221,221000,221,900,900,900000
RandomWaypointMobility-SPD-0-19-20211009-16:50:22-20228,0,19,TARPNetwork.node[17].app[0],NaN,NaN,157,157000,157,900,900,900000
RandomWaypointMobility-SPD-0-7-20211009-16:51:10-20652,0,7,TARPNetwork.node[22].app[0],358,358000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-0-5-20211009-16:50:26-20652,0,5,TARPNetwork.node[22].app[0],623,623000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-0-19-20211009-16:50:22-20228,0,19,TARPNetwork.node[22].app[0],340,340000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-0-6-20211009-16:50:51-20652,0,6,TARPNetwork.node[22].app[0],521,521000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-0-13-20211009-16:53:15-20652,0,13,TARPNetwork.node[22].app[0],622,622000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-0-22-20211009-16:51:21-20228,0,22,TARPNetwork.node[17].app[0],NaN,NaN,188,188000,188,900,900,900000
RandomWaypointMobility-SPD-0-28-20211009-16:53:24-20228,0,28,TARPNetwork.node[17].app[0],NaN,NaN,267,267000,267,900,900,900000
RandomWaypointMobility-SPD-0-23-20211009-16:51:31-20228,0,23,TARPNetwork.node[17].app[0],NaN,NaN,397,397000,397,900,900,900000
RandomWaypointMobility-SPD-0-23-20211009-16:51:31-20228,0,23,TARPNetwork.node[22].app[0],630,630000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-0-10-20211009-16:52:12-20652,0,10,TARPNetwork.node[17].app[0],NaN,NaN,131,131000,131,900,900,900000
RandomWaypointMobility-SPD-0-22-20211009-16:51:21-20228,0,22,TARPNetwork.node[22].app[0],340,340000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-0-26-20211009-16:52:32-20228,0,26,TARPNetwork.node[17].app[0],NaN,NaN,379,379000,379,900,900,900000
RandomWaypointMobility-SPD-0-26-20211009-16:52:32-20228,0,26,TARPNetwork.node[22].app[0],687,687000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-0-14-20211009-16:53:39-20652,0,14,TARPNetwork.node[17].app[0],NaN,NaN,213,213000,213,900,900,900000
RandomWaypointMobility-SPD-0-18-20211009-16:50:03-20228,0,18,TARPNetwork.node[22].app[0],445,445000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-0-18-20211009-16:50:03-20228,0,18,TARPNetwork.node[17].app[0],NaN,NaN,214,214000,214,900,900,900000
RandomWaypointMobility-SPD-0-14-20211009-16:53:39-20652,0,14,TARPNetwork.node[22].app[0],468,468000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-0-27-20211009-16:52:52-20228,0,27,TARPNetwork.node[22].app[0],685,685000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-0-27-20211009-16:52:52-20228,0,27,TARPNetwork.node[17].app[0],NaN,NaN,183,183000,183,900,900,900000
RandomWaypointMobility-SPD-0-28-20211009-16:53:24-20228,0,28,TARPNetwork.node[22].app[0],530,530000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-0-0-20211009-16:48:54-20652,0,0,TARPNetwork.node[17].app[0],NaN,NaN,303,303000,303,900,900,900000
RandomWaypointMobility-SPD-0-29-20211009-16:53:40-20228,0,29,TARPNetwork.node[17].app[0],NaN,NaN,180,180000,180,900,900,900000
RandomWaypointMobility-SPD-0-29-20211009-16:53:40-20228,0,29,TARPNetwork.node[22].app[0],351,351000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-0-16-20211009-16:49:19-20228,0,16,TARPNetwork.node[17].app[0],NaN,NaN,276,276000,276,900,900,900000
RandomWaypointMobility-SPD-0-16-20211009-16:49:19-20228,0,16,TARPNetwork.node[22].app[0],577,577000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-0-3-20211009-16:49:43-20652,0,3,TARPNetwork.node[17].app[0],NaN,NaN,306,306000,306,900,900,900000
RandomWaypointMobility-SPD-0-0-20211009-16:48:54-20652,0,0,TARPNetwork.node[22].app[0],677,677000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-0-24-20211009-16:51:48-20228,0,24,TARPNetwork.node[17].app[0],NaN,NaN,138,138000,138,900,900,900000
RandomWaypointMobility-SPD-0-24-20211009-16:51:48-20228,0,24,TARPNetwork.node[22].app[0],365,365000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-0-9-20211009-16:51:53-20652,0,9,TARPNetwork.node[17].app[0],NaN,NaN,310,310000,310,900,900,900000
RandomWaypointMobility-SPD-0-3-20211009-16:49:43-20652,0,3,TARPNetwork.node[22].app[0],546,546000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-0-9-20211009-16:51:53-20652,0,9,TARPNetwork.node[22].app[0],506,506000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-0-10-20211009-16:52:12-20652,0,10,TARPNetwork.node[22].app[0],343,343000,NaN,NaN,NaN,NaN,NaN,NaN
