run,PauseTime,repetition,Module,echoedPk:count,echoedPk:sum(packetBytes),packetReceived:count,packetReceived:sum(packetBytes),packets received,packets sent,packetSent:count,packetSent:sum(packetBytes)
RandomWaypointMobility-SPD-B-61-20211009-15:55:12-20048,100,1,TARPNetwork.node[17].app[0],NaN,NaN,492,492000,492,900,900,900000
RandomWaypointMobility-SPD-B-69-20211009-16:00:21-20048,100,9,TARPNetwork.node[17].app[0],NaN,NaN,606,606000,606,900,900,900000
RandomWaypointMobility-SPD-B-82-20211009-15:59:05-23060,100,22,TARPNetwork.node[17].app[0],NaN,NaN,571,571000,571,900,900,900000
RandomWaypointMobility-SPD-B-80-20211009-15:57:47-23060,100,20,TARPNetwork.node[22].app[0],866,866000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-73-20211009-16:03:10-20048,100,13,TARPNetwork.node[22].app[0],818,818000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-61-20211009-15:55:12-20048,100,1,TARPNetwork.node[22].app[0],828,828000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-66-20211009-15:58:20-20048,100,6,TARPNetwork.node[22].app[0],693,693000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-70-20211009-16:01:06-20048,100,10,TARPNetwork.node[17].app[0],NaN,NaN,412,412000,412,900,900,900000
RandomWaypointMobility-SPD-B-69-20211009-16:00:21-20048,100,9,TARPNetwork.node[22].app[0],883,883000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-73-20211009-16:03:10-20048,100,13,TARPNetwork.node[17].app[0],NaN,NaN,554,554000,554,900,900,900000
RandomWaypointMobility-SPD-B-80-20211009-15:57:47-23060,100,20,TARPNetwork.node[17].app[0],NaN,NaN,671,671000,671,900,900,900000
RandomWaypointMobility-SPD-B-72-20211009-16:02:30-20048,100,12,TARPNetwork.node[22].app[0],787,787000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-68-20211009-15:59:51-20048,100,8,TARPNetwork.node[17].app[0],NaN,NaN,766,766000,766,900,900,900000
RandomWaypointMobility-SPD-B-68-20211009-15:59:51-20048,100,8,TARPNetwork.node[22].app[0],899,899000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-67-20211009-15:59:06-20048,100,7,TARPNetwork.node[22].app[0],865,865000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-67-20211009-15:59:06-20048,100,7,TARPNetwork.node[17].app[0],NaN,NaN,579,579000,579,900,900,900000
RandomWaypointMobility-SPD-B-72-20211009-16:02:30-20048,100,12,TARPNetwork.node[17].app[0],NaN,NaN,586,586000,586,900,900,900000
RandomWaypointMobility-SPD-B-76-20211009-15:55:07-23060,100,16,TARPNetwork.node[17].app[0],NaN,NaN,537,537000,537,900,900,900000
RandomWaypointMobility-SPD-B-66-20211009-15:58:20-20048,100,6,TARPNetwork.node[17].app[0],NaN,NaN,502,502000,502,900,900,900000
RandomWaypointMobility-SPD-B-81-20211009-15:58:19-23060,100,21,TARPNetwork.node[22].app[0],838,838000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-81-20211009-15:58:19-23060,100,21,TARPNetwork.node[17].app[0],NaN,NaN,513,513000,513,900,900,900000
RandomWaypointMobility-SPD-B-89-20211009-16:03:59-23060,100,29,TARPNetwork.node[17].app[0],NaN,NaN,414,414000,414,900,900,900000
RandomWaypointMobility-SPD-B-76-20211009-15:55:07-23060,100,16,TARPNetwork.node[22].app[0],807,807000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-71-20211009-16:01:38-20048,100,11,TARPNetwork.node[17].app[0],NaN,NaN,580,580000,580,900,900,900000
RandomWaypointMobility-SPD-B-89-20211009-16:03:59-23060,100,29,TARPNetwork.node[22].app[0],677,677000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-78-20211009-15:56:18-23060,100,18,TARPNetwork.node[22].app[0],882,882000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-78-20211009-15:56:18-23060,100,18,TARPNetwork.node[17].app[0],NaN,NaN,604,604000,604,900,900,900000
RandomWaypointMobility-SPD-B-87-20211009-16:02:28-23060,100,27,TARPNetwork.node[17].app[0],NaN,NaN,665,665000,665,900,900,900000
RandomWaypointMobility-SPD-B-71-20211009-16:01:38-20048,100,11,TARPNetwork.node[22].app[0],875,875000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-84-20211009-16:00:30-23060,100,24,TARPNetwork.node[17].app[0],NaN,NaN,686,686000,686,900,900,900000
RandomWaypointMobility-SPD-B-79-20211009-15:57:09-23060,100,19,TARPNetwork.node[22].app[0],863,863000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-86-20211009-16:01:47-23060,100,26,TARPNetwork.node[17].app[0],NaN,NaN,530,530000,530,900,900,900000
RandomWaypointMobility-SPD-B-79-20211009-15:57:09-23060,100,19,TARPNetwork.node[17].app[0],NaN,NaN,639,639000,639,900,900,900000
RandomWaypointMobility-SPD-B-85-20211009-16:01:10-23060,100,25,TARPNetwork.node[17].app[0],NaN,NaN,586,586000,586,900,900,900000
RandomWaypointMobility-SPD-B-87-20211009-16:02:28-23060,100,27,TARPNetwork.node[22].app[0],805,805000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-64-20211009-15:57:16-20048,100,4,TARPNetwork.node[22].app[0],899,899000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-77-20211009-15:55:46-23060,100,17,TARPNetwork.node[17].app[0],NaN,NaN,747,747000,747,900,900,900000
RandomWaypointMobility-SPD-B-85-20211009-16:01:10-23060,100,25,TARPNetwork.node[22].app[0],813,813000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-83-20211009-15:59:46-23060,100,23,TARPNetwork.node[17].app[0],NaN,NaN,557,557000,557,900,900,900000
RandomWaypointMobility-SPD-B-64-20211009-15:57:16-20048,100,4,TARPNetwork.node[17].app[0],NaN,NaN,666,666000,666,900,900,900000
RandomWaypointMobility-SPD-B-77-20211009-15:55:46-23060,100,17,TARPNetwork.node[22].app[0],874,874000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-63-20211009-15:56:32-20048,100,3,TARPNetwork.node[17].app[0],NaN,NaN,593,593000,593,900,900,900000
RandomWaypointMobility-SPD-B-63-20211009-15:56:32-20048,100,3,TARPNetwork.node[22].app[0],789,789000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-84-20211009-16:00:30-23060,100,24,TARPNetwork.node[22].app[0],842,842000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-62-20211009-15:55:50-20048,100,2,TARPNetwork.node[17].app[0],NaN,NaN,529,529000,529,900,900,900000
RandomWaypointMobility-SPD-B-88-20211009-16:03:18-23060,100,28,TARPNetwork.node[17].app[0],NaN,NaN,648,648000,648,900,900,900000
RandomWaypointMobility-SPD-B-75-20211009-15:54:25-23060,100,15,TARPNetwork.node[17].app[0],NaN,NaN,462,462000,462,900,900,900000
RandomWaypointMobility-SPD-B-88-20211009-16:03:18-23060,100,28,TARPNetwork.node[22].app[0],829,829000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-65-20211009-15:57:49-20048,100,5,TARPNetwork.node[17].app[0],NaN,NaN,638,638000,638,900,900,900000
RandomWaypointMobility-SPD-B-83-20211009-15:59:46-23060,100,23,TARPNetwork.node[22].app[0],836,836000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-74-20211009-16:03:50-20048,100,14,TARPNetwork.node[17].app[0],NaN,NaN,681,681000,681,900,900,900000
RandomWaypointMobility-SPD-B-82-20211009-15:59:05-23060,100,22,TARPNetwork.node[22].app[0],859,859000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-74-20211009-16:03:50-20048,100,14,TARPNetwork.node[22].app[0],868,868000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-62-20211009-15:55:50-20048,100,2,TARPNetwork.node[22].app[0],890,890000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-75-20211009-15:54:25-23060,100,15,TARPNetwork.node[22].app[0],789,789000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-70-20211009-16:01:06-20048,100,10,TARPNetwork.node[22].app[0],681,681000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-86-20211009-16:01:47-23060,100,26,TARPNetwork.node[22].app[0],751,751000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-60-20211009-15:54:25-20048,100,0,TARPNetwork.node[22].app[0],738,738000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-65-20211009-15:57:49-20048,100,5,TARPNetwork.node[22].app[0],838,838000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-B-60-20211009-15:54:25-20048,100,0,TARPNetwork.node[17].app[0],NaN,NaN,575,575000,575,900,900,900000
