run,PauseTime,repetition,Module,echoedPk:count,echoedPk:sum(packetBytes),packetReceived:count,packetReceived:sum(packetBytes),packets received,packets sent,packetSent:count,packetSent:sum(packetBytes)
RandomWaypointMobility-SPD-21-20211009-14:43:24-20556,0,21,TARPNetwork.node[22].app[0],727,727000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-28-20211009-14:46:51-20556,0,28,TARPNetwork.node[17].app[0],NaN,NaN,499,499000,499,900,900,900000
RandomWaypointMobility-SPD-28-20211009-14:46:51-20556,0,28,TARPNetwork.node[22].app[0],801,801000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-21-20211009-14:43:24-20556,0,21,TARPNetwork.node[17].app[0],NaN,NaN,474,474000,474,900,900,900000
RandomWaypointMobility-SPD-13-20211009-14:47:01-4140,0,13,TARPNetwork.node[17].app[0],NaN,NaN,429,429000,429,900,900,900000
RandomWaypointMobility-SPD-13-20211009-14:47:01-4140,0,13,TARPNetwork.node[22].app[0],802,802000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-1-20211009-14:40:36-4140,0,1,TARPNetwork.node[17].app[0],NaN,NaN,483,483000,483,900,900,900000
RandomWaypointMobility-SPD-27-20211009-14:46:18-20556,0,27,TARPNetwork.node[22].app[0],815,815000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-20-20211009-14:42:59-20556,0,20,TARPNetwork.node[17].app[0],NaN,NaN,501,501000,501,900,900,900000
RandomWaypointMobility-SPD-20-20211009-14:42:59-20556,0,20,TARPNetwork.node[22].app[0],718,718000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-27-20211009-14:46:18-20556,0,27,TARPNetwork.node[17].app[0],NaN,NaN,523,523000,523,900,900,900000
RandomWaypointMobility-SPD-5-20211009-14:42:50-4140,0,5,TARPNetwork.node[17].app[0],NaN,NaN,567,567000,567,900,900,900000
RandomWaypointMobility-SPD-5-20211009-14:42:50-4140,0,5,TARPNetwork.node[22].app[0],781,781000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-2-20211009-14:41:18-4140,0,2,TARPNetwork.node[17].app[0],NaN,NaN,376,376000,376,900,900,900000
RandomWaypointMobility-SPD-3-20211009-14:41:48-4140,0,3,TARPNetwork.node[17].app[0],NaN,NaN,460,460000,460,900,900,900000
RandomWaypointMobility-SPD-3-20211009-14:41:48-4140,0,3,TARPNetwork.node[22].app[0],712,712000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-2-20211009-14:41:18-4140,0,2,TARPNetwork.node[22].app[0],728,728000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-9-20211009-14:44:53-4140,0,9,TARPNetwork.node[17].app[0],NaN,NaN,535,535000,535,900,900,900000
RandomWaypointMobility-SPD-9-20211009-14:44:53-4140,0,9,TARPNetwork.node[22].app[0],802,802000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-12-20211009-14:46:23-4140,0,12,TARPNetwork.node[17].app[0],NaN,NaN,463,463000,463,900,900,900000
RandomWaypointMobility-SPD-1-20211009-14:40:36-4140,0,1,TARPNetwork.node[22].app[0],866,866000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-12-20211009-14:46:23-4140,0,12,TARPNetwork.node[22].app[0],889,889000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-22-20211009-14:44:00-20556,0,22,TARPNetwork.node[17].app[0],NaN,NaN,561,561000,561,900,900,900000
RandomWaypointMobility-SPD-22-20211009-14:44:00-20556,0,22,TARPNetwork.node[22].app[0],789,789000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-25-20211009-14:45:23-20556,0,25,TARPNetwork.node[17].app[0],NaN,NaN,392,392000,392,900,900,900000
RandomWaypointMobility-SPD-18-20211009-14:41:52-20556,0,18,TARPNetwork.node[22].app[0],576,576000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-7-20211009-14:43:53-4140,0,7,TARPNetwork.node[17].app[0],NaN,NaN,429,429000,429,900,900,900000
RandomWaypointMobility-SPD-7-20211009-14:43:53-4140,0,7,TARPNetwork.node[22].app[0],701,701000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-25-20211009-14:45:23-20556,0,25,TARPNetwork.node[22].app[0],753,753000,NaN,NaN,NaN,NaN,NaN,NaN
