run,PauseTime,repetition,Module,nbDataPacketsForwarded
RandomWaypointMobility-SPD-A-25-20211130-20:12:57-15376,0,25,TARPNetwork.node[23].generic.np,360
RandomWaypointMobility-SPD-A-25-20211130-20:12:57-15376,0,25,TARPNetwork.node[15].generic.np,283
RandomWaypointMobility-SPD-A-25-20211130-20:12:57-15376,0,25,TARPNetwork.node[16].generic.np,356
RandomWaypointMobility-SPD-A-25-20211130-20:12:57-15376,0,25,TARPNetwork.node[17].generic.np,0
RandomWaypointMobility-SPD-A-25-20211130-20:12:57-15376,0,25,TARPNetwork.node[18].generic.np,614
RandomWaypointMobility-SPD-A-25-20211130-20:12:57-15376,0,25,TARPNetwork.node[19].generic.np,429
RandomWaypointMobility-SPD-A-25-20211130-20:12:57-15376,0,25,TARPNetwork.node[20].generic.np,584
RandomWaypointMobility-SPD-A-25-20211130-20:12:57-15376,0,25,TARPNetwork.node[21].generic.np,298
RandomWaypointMobility-SPD-A-25-20211130-20:12:57-15376,0,25,TARPNetwork.node[22].generic.np,0
RandomWaypointMobility-SPD-A-25-20211130-20:12:57-15376,0,25,TARPNetwork.node[14].generic.np,345
RandomWaypointMobility-SPD-A-25-20211130-20:12:57-15376,0,25,TARPNetwork.node[24].generic.np,346
RandomWaypointMobility-SPD-A-25-20211130-20:12:57-15376,0,25,TARPNetwork.node[25].generic.np,275
RandomWaypointMobility-SPD-A-25-20211130-20:12:57-15376,0,25,TARPNetwork.node[26].generic.np,241
RandomWaypointMobility-SPD-A-25-20211130-20:12:57-15376,0,25,TARPNetwork.node[27].generic.np,454
RandomWaypointMobility-SPD-A-25-20211130-20:12:57-15376,0,25,TARPNetwork.node[28].generic.np,460
RandomWaypointMobility-SPD-A-25-20211130-20:12:57-15376,0,25,TARPNetwork.node[29].generic.np,838
RandomWaypointMobility-SPD-A-25-20211130-20:12:57-15376,0,25,TARPNetwork.node[30].generic.np,1018
RandomWaypointMobility-SPD-A-25-20211130-20:12:57-15376,0,25,TARPNetwork.node[31].generic.np,367
RandomWaypointMobility-SPD-A-25-20211130-20:12:57-15376,0,25,TARPNetwork.node[13].generic.np,552
RandomWaypointMobility-SPD-A-25-20211130-20:12:57-15376,0,25,TARPNetwork.node[12].generic.np,727
RandomWaypointMobility-SPD-A-25-20211130-20:12:57-15376,0,25,TARPNetwork.node[11].generic.np,202
RandomWaypointMobility-SPD-A-25-20211130-20:12:57-15376,0,25,TARPNetwork.node[10].generic.np,368
RandomWaypointMobility-SPD-A-25-20211130-20:12:57-15376,0,25,TARPNetwork.node[9].generic.np,612
RandomWaypointMobility-SPD-A-25-20211130-20:12:57-15376,0,25,TARPNetwork.node[8].generic.np,343
RandomWaypointMobility-SPD-A-25-20211130-20:12:57-15376,0,25,TARPNetwork.node[7].generic.np,296
RandomWaypointMobility-SPD-A-25-20211130-20:12:57-15376,0,25,TARPNetwork.node[6].generic.np,417
RandomWaypointMobility-SPD-A-25-20211130-20:12:57-15376,0,25,TARPNetwork.node[5].generic.np,351
