run,PauseTime,repetition,Module,echoedPk:count,echoedPk:sum(packetBytes),packetReceived:count,packetReceived:sum(packetBytes),packets received,packets sent,packetSent:count,packetSent:sum(packetBytes)
RandomWaypointMobility-SPD-A-14-20211204-15:00:04-10632,300,14,TARPNetwork.node[17].app[0],NaN,NaN,529,529000,529,900,900,900000
RandomWaypointMobility-SPD-A-14-20211204-15:00:04-10632,300,14,TARPNetwork.node[22].app[0],844,844000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-21-20211204-14:51:54-17364,300,21,TARPNetwork.node[17].app[0],NaN,NaN,474,474000,474,900,900,900000
RandomWaypointMobility-SPD-A-1-20211204-14:46:54-10632,300,1,TARPNetwork.node[17].app[0],NaN,NaN,377,377000,377,900,900,900000
RandomWaypointMobility-SPD-A-27-20211204-14:58:23-17364,300,27,TARPNetwork.node[22].app[0],884,884000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-27-20211204-14:58:23-17364,300,27,TARPNetwork.node[17].app[0],NaN,NaN,567,567000,567,900,900,900000
RandomWaypointMobility-SPD-A-1-20211204-14:46:54-10632,300,1,TARPNetwork.node[22].app[0],777,777000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-16-20211204-14:47:13-17364,300,16,TARPNetwork.node[22].app[0],858,858000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-7-20211204-14:53:18-10632,300,7,TARPNetwork.node[17].app[0],NaN,NaN,430,430000,430,900,900,900000
RandomWaypointMobility-SPD-A-7-20211204-14:53:18-10632,300,7,TARPNetwork.node[22].app[0],658,658000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-16-20211204-14:47:13-17364,300,16,TARPNetwork.node[17].app[0],NaN,NaN,519,519000,519,900,900,900000
RandomWaypointMobility-SPD-A-17-20211204-14:47:43-17364,300,17,TARPNetwork.node[22].app[0],761,761000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-19-20211204-14:50:07-17364,300,19,TARPNetwork.node[22].app[0],809,809000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-19-20211204-14:50:07-17364,300,19,TARPNetwork.node[17].app[0],NaN,NaN,406,406000,406,900,900,900000
RandomWaypointMobility-SPD-A-17-20211204-14:47:43-17364,300,17,TARPNetwork.node[17].app[0],NaN,NaN,432,432000,432,900,900,900000
RandomWaypointMobility-SPD-A-8-20211204-14:54:07-10632,300,8,TARPNetwork.node[22].app[0],829,829000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-5-20211204-14:50:49-10632,300,5,TARPNetwork.node[22].app[0],831,831000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-13-20211204-14:59:19-10632,300,13,TARPNetwork.node[17].app[0],NaN,NaN,531,531000,531,900,900,900000
RandomWaypointMobility-SPD-A-13-20211204-14:59:19-10632,300,13,TARPNetwork.node[22].app[0],849,849000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-5-20211204-14:50:49-10632,300,5,TARPNetwork.node[17].app[0],NaN,NaN,575,575000,575,900,900,900000
RandomWaypointMobility-SPD-A-26-20211204-14:57:25-17364,300,26,TARPNetwork.node[17].app[0],NaN,NaN,543,543000,543,900,900,900000
