run,PauseTime,repetition,Module,echoedPk:count,echoedPk:sum(packetBytes),packetReceived:count,packetReceived:sum(packetBytes),packets received,packets sent,packetSent:count,packetSent:sum(packetBytes)
RandomWaypointMobility-DD-60-20211204-19:37:29-21684,100,0,TARPNetwork.node[17].app[0],NaN,NaN,448,448000,448,900,900,900000
RandomWaypointMobility-DD-70-20211204-19:42:29-21684,100,10,TARPNetwork.node[22].app[0],582,582000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-64-20211204-19:39:28-21684,100,4,TARPNetwork.node[17].app[0],NaN,NaN,519,519000,519,900,900,900000
RandomWaypointMobility-DD-64-20211204-19:39:28-21684,100,4,TARPNetwork.node[22].app[0],696,696000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-77-20211204-19:38:27-24580,100,17,TARPNetwork.node[17].app[0],NaN,NaN,519,519000,519,900,900,900000
RandomWaypointMobility-DD-89-20211204-19:44:07-24580,100,29,TARPNetwork.node[22].app[0],861,861000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-89-20211204-19:44:07-24580,100,29,TARPNetwork.node[17].app[0],NaN,NaN,712,712000,712,900,900,900000
RandomWaypointMobility-DD-83-20211204-19:41:18-24580,100,23,TARPNetwork.node[17].app[0],NaN,NaN,665,665000,665,900,900,900000
RandomWaypointMobility-DD-67-20211204-19:40:55-21684,100,7,TARPNetwork.node[22].app[0],758,758000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-86-20211204-19:42:51-24580,100,26,TARPNetwork.node[17].app[0],NaN,NaN,581,581000,581,900,900,900000
RandomWaypointMobility-DD-70-20211204-19:42:29-21684,100,10,TARPNetwork.node[17].app[0],NaN,NaN,536,536000,536,900,900,900000
RandomWaypointMobility-DD-83-20211204-19:41:18-24580,100,23,TARPNetwork.node[22].app[0],792,792000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-86-20211204-19:42:51-24580,100,26,TARPNetwork.node[22].app[0],702,702000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-78-20211204-19:38:54-24580,100,18,TARPNetwork.node[17].app[0],NaN,NaN,634,634000,634,900,900,900000
RandomWaypointMobility-DD-71-20211204-19:42:55-21684,100,11,TARPNetwork.node[17].app[0],NaN,NaN,670,670000,670,900,900,900000
RandomWaypointMobility-DD-60-20211204-19:37:29-21684,100,0,TARPNetwork.node[22].app[0],597,597000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-67-20211204-19:40:55-21684,100,7,TARPNetwork.node[17].app[0],NaN,NaN,596,596000,596,900,900,900000
RandomWaypointMobility-DD-62-20211204-19:38:26-21684,100,2,TARPNetwork.node[22].app[0],834,834000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-79-20211204-19:39:25-24580,100,19,TARPNetwork.node[22].app[0],601,601000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-62-20211204-19:38:26-21684,100,2,TARPNetwork.node[17].app[0],NaN,NaN,675,675000,675,900,900,900000
RandomWaypointMobility-DD-79-20211204-19:39:25-24580,100,19,TARPNetwork.node[17].app[0],NaN,NaN,504,504000,504,900,900,900000
RandomWaypointMobility-DD-81-20211204-19:40:19-24580,100,21,TARPNetwork.node[17].app[0],NaN,NaN,650,650000,650,900,900,900000
RandomWaypointMobility-DD-81-20211204-19:40:19-24580,100,21,TARPNetwork.node[22].app[0],762,762000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-73-20211204-19:43:58-21684,100,13,TARPNetwork.node[17].app[0],NaN,NaN,682,682000,682,900,900,900000
RandomWaypointMobility-DD-66-20211204-19:40:24-21684,100,6,TARPNetwork.node[17].app[0],NaN,NaN,555,555000,555,900,900,900000
RandomWaypointMobility-DD-73-20211204-19:43:58-21684,100,13,TARPNetwork.node[22].app[0],789,789000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-66-20211204-19:40:24-21684,100,6,TARPNetwork.node[22].app[0],734,734000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-87-20211204-19:43:17-24580,100,27,TARPNetwork.node[22].app[0],519,519000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-75-20211204-19:37:29-24580,100,15,TARPNetwork.node[22].app[0],684,684000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-68-20211204-19:41:25-21684,100,8,TARPNetwork.node[17].app[0],NaN,NaN,703,703000,703,900,900,900000
RandomWaypointMobility-DD-75-20211204-19:37:29-24580,100,15,TARPNetwork.node[17].app[0],NaN,NaN,537,537000,537,900,900,900000
RandomWaypointMobility-DD-71-20211204-19:42:55-21684,100,11,TARPNetwork.node[22].app[0],820,820000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-68-20211204-19:41:25-21684,100,8,TARPNetwork.node[22].app[0],808,808000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-87-20211204-19:43:17-24580,100,27,TARPNetwork.node[17].app[0],NaN,NaN,452,452000,452,900,900,900000
RandomWaypointMobility-DD-77-20211204-19:38:27-24580,100,17,TARPNetwork.node[22].app[0],716,716000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-88-20211204-19:43:42-24580,100,28,TARPNetwork.node[17].app[0],NaN,NaN,493,493000,493,900,900,900000
RandomWaypointMobility-DD-84-20211204-19:41:50-24580,100,24,TARPNetwork.node[22].app[0],745,745000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-84-20211204-19:41:50-24580,100,24,TARPNetwork.node[17].app[0],NaN,NaN,622,622000,622,900,900,900000
RandomWaypointMobility-DD-69-20211204-19:41:58-21684,100,9,TARPNetwork.node[17].app[0],NaN,NaN,702,702000,702,900,900,900000
RandomWaypointMobility-DD-82-20211204-19:40:50-24580,100,22,TARPNetwork.node[22].app[0],657,657000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-82-20211204-19:40:50-24580,100,22,TARPNetwork.node[17].app[0],NaN,NaN,541,541000,541,900,900,900000
RandomWaypointMobility-DD-61-20211204-19:37:55-21684,100,1,TARPNetwork.node[17].app[0],NaN,NaN,661,661000,661,900,900,900000
RandomWaypointMobility-DD-88-20211204-19:43:42-24580,100,28,TARPNetwork.node[22].app[0],672,672000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-69-20211204-19:41:58-21684,100,9,TARPNetwork.node[22].app[0],875,875000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-74-20211204-19:44:27-21684,100,14,TARPNetwork.node[17].app[0],NaN,NaN,542,542000,542,900,900,900000
RandomWaypointMobility-DD-63-20211204-19:38:58-21684,100,3,TARPNetwork.node[17].app[0],NaN,NaN,603,603000,603,900,900,900000
RandomWaypointMobility-DD-61-20211204-19:37:55-21684,100,1,TARPNetwork.node[22].app[0],730,730000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-65-20211204-19:39:55-21684,100,5,TARPNetwork.node[17].app[0],NaN,NaN,559,559000,559,900,900,900000
RandomWaypointMobility-DD-63-20211204-19:38:58-21684,100,3,TARPNetwork.node[22].app[0],756,756000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-65-20211204-19:39:55-21684,100,5,TARPNetwork.node[22].app[0],670,670000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-85-20211204-19:42:19-24580,100,25,TARPNetwork.node[22].app[0],869,869000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-72-20211204-19:43:26-21684,100,12,TARPNetwork.node[17].app[0],NaN,NaN,659,659000,659,900,900,900000
RandomWaypointMobility-DD-80-20211204-19:39:51-24580,100,20,TARPNetwork.node[17].app[0],NaN,NaN,591,591000,591,900,900,900000
RandomWaypointMobility-DD-72-20211204-19:43:26-21684,100,12,TARPNetwork.node[22].app[0],746,746000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-85-20211204-19:42:19-24580,100,25,TARPNetwork.node[17].app[0],NaN,NaN,735,735000,735,900,900,900000
RandomWaypointMobility-DD-78-20211204-19:38:54-24580,100,18,TARPNetwork.node[22].app[0],860,860000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-80-20211204-19:39:51-24580,100,20,TARPNetwork.node[22].app[0],705,705000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-76-20211204-19:37:56-24580,100,16,TARPNetwork.node[17].app[0],NaN,NaN,646,646000,646,900,900,900000
RandomWaypointMobility-DD-76-20211204-19:37:56-24580,100,16,TARPNetwork.node[22].app[0],787,787000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-74-20211204-19:44:27-21684,100,14,TARPNetwork.node[22].app[0],683,683000,NaN,NaN,NaN,NaN,NaN,NaN
