run,PauseTime,repetition,Module,echoedPk:count,echoedPk:sum(packetBytes),packetReceived:count,packetReceived:sum(packetBytes),packets received,packets sent,packetSent:count,packetSent:sum(packetBytes)
RandomWaypointMobility-DD-28-20220218-11:49:40-8444,0,28,TARPNetwork.node[22].app[0],874,874000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-11-20220218-11:41:16-8444,0,11,TARPNetwork.node[17].app[0],NaN,NaN,631,631000,631,900,900,900000
RandomWaypointMobility-DD-11-20220218-11:41:16-8444,0,11,TARPNetwork.node[22].app[0],809,809000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-8-20220218-11:39:38-8444,0,8,TARPNetwork.node[17].app[0],NaN,NaN,616,616000,616,900,900,900000
RandomWaypointMobility-DD-8-20220218-11:39:38-8444,0,8,TARPNetwork.node[22].app[0],833,833000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-26-20220218-11:48:49-8444,0,26,TARPNetwork.node[17].app[0],NaN,NaN,689,689000,689,900,900,900000
RandomWaypointMobility-DD-28-20220218-11:49:40-8444,0,28,TARPNetwork.node[17].app[0],NaN,NaN,698,698000,698,900,900,900000
RandomWaypointMobility-DD-21-20220218-11:46:33-8444,0,21,TARPNetwork.node[17].app[0],NaN,NaN,670,670000,670,900,900,900000
RandomWaypointMobility-DD-9-20220218-11:40:11-8444,0,9,TARPNetwork.node[17].app[0],NaN,NaN,683,683000,683,900,900,900000
RandomWaypointMobility-DD-4-20220218-11:37:30-8444,0,4,TARPNetwork.node[17].app[0],NaN,NaN,691,691000,691,900,900,900000
RandomWaypointMobility-DD-2-20220218-11:36:28-8444,0,2,TARPNetwork.node[17].app[0],NaN,NaN,654,654000,654,900,900,900000
RandomWaypointMobility-DD-21-20220218-11:46:33-8444,0,21,TARPNetwork.node[22].app[0],798,798000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-20-20220218-11:46:03-8444,0,20,TARPNetwork.node[22].app[0],747,747000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-20-20220218-11:46:03-8444,0,20,TARPNetwork.node[17].app[0],NaN,NaN,597,597000,597,900,900,900000
RandomWaypointMobility-DD-2-20220218-11:36:28-8444,0,2,TARPNetwork.node[22].app[0],806,806000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-5-20220218-11:38:03-8444,0,5,TARPNetwork.node[17].app[0],NaN,NaN,593,593000,593,900,900,900000
RandomWaypointMobility-DD-27-20220218-11:49:15-8444,0,27,TARPNetwork.node[17].app[0],NaN,NaN,621,621000,621,900,900,900000
RandomWaypointMobility-DD-26-20220218-11:48:49-8444,0,26,TARPNetwork.node[22].app[0],822,822000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-4-20220218-11:37:30-8444,0,4,TARPNetwork.node[22].app[0],825,825000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-3-20220218-11:36:59-8444,0,3,TARPNetwork.node[17].app[0],NaN,NaN,659,659000,659,900,900,900000
RandomWaypointMobility-DD-7-20220218-11:39:05-8444,0,7,TARPNetwork.node[22].app[0],773,773000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-1-20220218-11:35:57-8444,0,1,TARPNetwork.node[17].app[0],NaN,NaN,621,621000,621,900,900,900000
RandomWaypointMobility-DD-1-20220218-11:35:57-8444,0,1,TARPNetwork.node[22].app[0],721,721000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-14-20220218-11:42:49-8444,0,14,TARPNetwork.node[17].app[0],NaN,NaN,691,691000,691,900,900,900000
RandomWaypointMobility-DD-3-20220218-11:36:59-8444,0,3,TARPNetwork.node[22].app[0],821,821000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-7-20220218-11:39:05-8444,0,7,TARPNetwork.node[17].app[0],NaN,NaN,617,617000,617,900,900,900000
RandomWaypointMobility-DD-25-20220218-11:48:23-8444,0,25,TARPNetwork.node[22].app[0],836,836000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-5-20220218-11:38:03-8444,0,5,TARPNetwork.node[22].app[0],796,796000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-9-20220218-11:40:11-8444,0,9,TARPNetwork.node[22].app[0],821,821000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-27-20220218-11:49:15-8444,0,27,TARPNetwork.node[22].app[0],765,765000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-16-20220218-11:43:53-8444,0,16,TARPNetwork.node[17].app[0],NaN,NaN,549,549000,549,900,900,900000
RandomWaypointMobility-DD-29-20220218-11:50:06-8444,0,29,TARPNetwork.node[17].app[0],NaN,NaN,673,673000,673,900,900,900000
RandomWaypointMobility-DD-29-20220218-11:50:06-8444,0,29,TARPNetwork.node[22].app[0],838,838000,NaN,NaN,NaN,NaN,NaN,NaN
