run,PauseTime,repetition,Module,echoedPk:count,echoedPk:sum(packetBytes),packetReceived:count,packetReceived:sum(packetBytes),packets received,packets sent,packetSent:count,packetSent:sum(packetBytes)
RandomWaypointMobility-SPD-A-81-20220311-20:47:05-16092,60,21,TARPNetwork.node[17].app[0],NaN,NaN,220,220000,220,900,900,900000
RandomWaypointMobility-SPD-A-74-20220311-20:41:33-16092,60,14,TARPNetwork.node[17].app[0],NaN,NaN,293,293000,293,900,900,900000
RandomWaypointMobility-SPD-A-73-20220311-20:40:54-16092,60,13,TARPNetwork.node[22].app[0],712,712000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-73-20220311-20:40:54-16092,60,13,TARPNetwork.node[17].app[0],NaN,NaN,457,457000,457,900,900,900000
RandomWaypointMobility-SPD-A-62-20220311-20:33:14-16092,60,2,TARPNetwork.node[17].app[0],NaN,NaN,428,428000,428,900,900,900000
RandomWaypointMobility-SPD-A-67-20220311-20:36:50-16092,60,7,TARPNetwork.node[22].app[0],667,667000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-60-20220311-20:31:24-16092,60,0,TARPNetwork.node[17].app[0],NaN,NaN,486,486000,486,900,900,900000
RandomWaypointMobility-SPD-A-85-20220311-20:49:54-16092,60,25,TARPNetwork.node[22].app[0],678,678000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-67-20220311-20:36:50-16092,60,7,TARPNetwork.node[17].app[0],NaN,NaN,407,407000,407,900,900,900000
RandomWaypointMobility-SPD-A-69-20220311-20:38:19-16092,60,9,TARPNetwork.node[22].app[0],590,590000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-69-20220311-20:38:19-16092,60,9,TARPNetwork.node[17].app[0],NaN,NaN,266,266000,266,900,900,900000
RandomWaypointMobility-SPD-A-70-20220311-20:39:04-16092,60,10,TARPNetwork.node[22].app[0],672,672000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-70-20220311-20:39:04-16092,60,10,TARPNetwork.node[17].app[0],NaN,NaN,418,418000,418,900,900,900000
RandomWaypointMobility-SPD-A-74-20220311-20:41:33-16092,60,14,TARPNetwork.node[22].app[0],560,560000,NaN,NaN,NaN,NaN,NaN,NaN
