run,PauseTime,repetition,Module,echoedPk:count,echoedPk:sum(packetBytes),packetReceived:count,packetReceived:sum(packetBytes),packets received,packets sent,packetSent:count,packetSent:sum(packetBytes)
RandomWaypointMobility-DD-41-20220312-12:35:31-7364,600,11,TARPNetwork.node[17].app[0],NaN,NaN,748,748000,748,900,900,900000
RandomWaypointMobility-DD-41-20220312-12:35:31-7364,600,11,TARPNetwork.node[22].app[0],877,877000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-47-20220312-12:36:53-7364,600,17,TARPNetwork.node[17].app[0],NaN,NaN,763,763000,763,900,900,900000
RandomWaypointMobility-DD-31-20220312-12:32:42-7364,600,1,TARPNetwork.node[17].app[0],NaN,NaN,697,697000,697,900,900,900000
RandomWaypointMobility-DD-54-20220312-12:38:37-7364,600,24,TARPNetwork.node[17].app[0],NaN,NaN,558,558000,558,900,900,900000
RandomWaypointMobility-DD-45-20220312-12:36:26-7364,600,15,TARPNetwork.node[22].app[0],861,861000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-45-20220312-12:36:26-7364,600,15,TARPNetwork.node[17].app[0],NaN,NaN,450,450000,450,900,900,900000
RandomWaypointMobility-DD-35-20220312-12:33:53-7364,600,5,TARPNetwork.node[17].app[0],NaN,NaN,669,669000,669,900,900,900000
RandomWaypointMobility-DD-47-20220312-12:36:53-7364,600,17,TARPNetwork.node[22].app[0],877,877000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-35-20220312-12:33:53-7364,600,5,TARPNetwork.node[22].app[0],814,814000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-51-20220312-12:38:03-7364,600,21,TARPNetwork.node[17].app[0],NaN,NaN,243,243000,243,900,900,900000
RandomWaypointMobility-DD-48-20220312-12:37:17-7364,600,18,TARPNetwork.node[17].app[0],NaN,NaN,310,310000,310,900,900,900000
RandomWaypointMobility-DD-48-20220312-12:37:17-7364,600,18,TARPNetwork.node[22].app[0],871,871000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-51-20220312-12:38:03-7364,600,21,TARPNetwork.node[22].app[0],286,286000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-37-20220312-12:34:33-7364,600,7,TARPNetwork.node[22].app[0],758,758000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-56-20220312-12:39:10-7364,600,26,TARPNetwork.node[17].app[0],NaN,NaN,239,239000,239,900,900,900000
RandomWaypointMobility-DD-34-20220312-12:33:36-7364,600,4,TARPNetwork.node[17].app[0],NaN,NaN,700,700000,700,900,900,900000
RandomWaypointMobility-DD-33-20220312-12:33:10-7364,600,3,TARPNetwork.node[22].app[0],832,832000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-33-20220312-12:33:10-7364,600,3,TARPNetwork.node[17].app[0],NaN,NaN,744,744000,744,900,900,900000
RandomWaypointMobility-DD-34-20220312-12:33:36-7364,600,4,TARPNetwork.node[22].app[0],814,814000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-56-20220312-12:39:10-7364,600,26,TARPNetwork.node[22].app[0],340,340000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-53-20220312-12:38:21-7364,600,23,TARPNetwork.node[17].app[0],NaN,NaN,674,674000,674,900,900,900000
RandomWaypointMobility-DD-31-20220312-12:32:42-7364,600,1,TARPNetwork.node[22].app[0],744,744000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-53-20220312-12:38:21-7364,600,23,TARPNetwork.node[22].app[0],753,753000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-39-20220312-12:35:04-7364,600,9,TARPNetwork.node[22].app[0],309,309000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-39-20220312-12:35:04-7364,600,9,TARPNetwork.node[17].app[0],NaN,NaN,256,256000,256,900,900,900000
RandomWaypointMobility-DD-43-20220312-12:36:07-7364,600,13,TARPNetwork.node[17].app[0],NaN,NaN,109,109000,109,900,900,900000
RandomWaypointMobility-DD-37-20220312-12:34:33-7364,600,7,TARPNetwork.node[17].app[0],NaN,NaN,627,627000,627,900,900,900000
RandomWaypointMobility-DD-43-20220312-12:36:07-7364,600,13,TARPNetwork.node[22].app[0],147,147000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-42-20220312-12:35:51-7364,600,12,TARPNetwork.node[22].app[0],156,156000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-52-20220312-12:38:13-7364,600,22,TARPNetwork.node[17].app[0],NaN,NaN,202,202000,202,900,900,900000
RandomWaypointMobility-DD-40-20220312-12:35:18-7364,600,10,TARPNetwork.node[17].app[0],NaN,NaN,39,39000,39,900,900,900000
RandomWaypointMobility-DD-42-20220312-12:35:51-7364,600,12,TARPNetwork.node[17].app[0],NaN,NaN,99,99000,99,900,900,900000
RandomWaypointMobility-DD-40-20220312-12:35:18-7364,600,10,TARPNetwork.node[22].app[0],59,59000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-59-20220312-12:40:06-7364,600,29,TARPNetwork.node[17].app[0],NaN,NaN,700,700000,700,900,900,900000
RandomWaypointMobility-DD-36-20220312-12:34:18-7364,600,6,TARPNetwork.node[17].app[0],NaN,NaN,768,768000,768,900,900,900000
RandomWaypointMobility-DD-57-20220312-12:39:25-7364,600,27,TARPNetwork.node[17].app[0],NaN,NaN,693,693000,693,900,900,900000
RandomWaypointMobility-DD-57-20220312-12:39:25-7364,600,27,TARPNetwork.node[22].app[0],882,882000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-36-20220312-12:34:18-7364,600,6,TARPNetwork.node[22].app[0],836,836000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-52-20220312-12:38:13-7364,600,22,TARPNetwork.node[22].app[0],233,233000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-55-20220312-12:38:55-7364,600,25,TARPNetwork.node[17].app[0],NaN,NaN,246,246000,246,900,900,900000
RandomWaypointMobility-DD-32-20220312-12:32:56-7364,600,2,TARPNetwork.node[17].app[0],NaN,NaN,693,693000,693,900,900,900000
RandomWaypointMobility-DD-32-20220312-12:32:56-7364,600,2,TARPNetwork.node[22].app[0],757,757000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-55-20220312-12:38:55-7364,600,25,TARPNetwork.node[22].app[0],336,336000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-46-20220312-12:36:44-7364,600,16,TARPNetwork.node[22].app[0],276,276000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-46-20220312-12:36:44-7364,600,16,TARPNetwork.node[17].app[0],NaN,NaN,181,181000,181,900,900,900000
RandomWaypointMobility-DD-38-20220312-12:34:52-7364,600,8,TARPNetwork.node[17].app[0],NaN,NaN,317,317000,317,900,900,900000
RandomWaypointMobility-DD-59-20220312-12:40:06-7364,600,29,TARPNetwork.node[22].app[0],873,873000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-38-20220312-12:34:52-7364,600,8,TARPNetwork.node[22].app[0],359,359000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-30-20220312-12:32:22-7364,600,0,TARPNetwork.node[22].app[0],798,798000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-50-20220312-12:37:47-7364,600,20,TARPNetwork.node[17].app[0],NaN,NaN,260,260000,260,900,900,900000
RandomWaypointMobility-DD-50-20220312-12:37:47-7364,600,20,TARPNetwork.node[22].app[0],738,738000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-58-20220312-12:39:51-7364,600,28,TARPNetwork.node[17].app[0],NaN,NaN,211,211000,211,900,900,900000
RandomWaypointMobility-DD-58-20220312-12:39:51-7364,600,28,TARPNetwork.node[22].app[0],719,719000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-44-20220312-12:36:15-7364,600,14,TARPNetwork.node[22].app[0],335,335000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-49-20220312-12:37:34-7364,600,19,TARPNetwork.node[22].app[0],231,231000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-49-20220312-12:37:34-7364,600,19,TARPNetwork.node[17].app[0],NaN,NaN,181,181000,181,900,900,900000
RandomWaypointMobility-DD-44-20220312-12:36:15-7364,600,14,TARPNetwork.node[17].app[0],NaN,NaN,284,284000,284,900,900,900000
RandomWaypointMobility-DD-54-20220312-12:38:37-7364,600,24,TARPNetwork.node[22].app[0],712,712000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-30-20220312-12:32:22-7364,600,0,TARPNetwork.node[17].app[0],NaN,NaN,350,350000,350,900,900,900000
