run,PauseTime,repetition,Module,meanNbHops,nbDataPacketsForwarded,nbDataPacketsReceived,nbDataPacketsSent,nbSpdDrops
RandomWaypointMobility-SPD-A-8-20220312-12:44:10-16064,0,8,TARPNetwork.node[23].generic.np,0,NaN,NaN,NaN,307
RandomWaypointMobility-SPD-A-25-20220312-12:47:18-16064,0,25,TARPNetwork.node[27].generic.np,0,408,0,0,367
RandomWaypointMobility-SPD-A-25-20220312-12:47:18-16064,0,25,TARPNetwork.node[30].generic.np,0,216,0,0,345
RandomWaypointMobility-SPD-A-25-20220312-12:47:18-16064,0,25,TARPNetwork.node[29].generic.np,0,322,0,0,339
RandomWaypointMobility-SPD-A-25-20220312-12:47:18-16064,0,25,TARPNetwork.node[28].generic.np,0,NaN,0,0,404
RandomWaypointMobility-SPD-A-8-20220312-12:44:10-16064,0,8,TARPNetwork.node[24].generic.np,0,474,0,0,321
RandomWaypointMobility-SPD-A-25-20220312-12:47:18-16064,0,25,TARPNetwork.node[26].generic.np,0,262,0,0,209
RandomWaypointMobility-SPD-A-8-20220312-12:44:10-16064,0,8,TARPNetwork.node[26].generic.np,0,482,NaN,0,179
RandomWaypointMobility-SPD-A-8-20220312-12:44:10-16064,0,8,TARPNetwork.node[28].generic.np,NaN,343,0,0,NaN
RandomWaypointMobility-SPD-A-8-20220312-12:44:10-16064,0,8,TARPNetwork.node[27].generic.np,0,383,0,0,361
RandomWaypointMobility-SPD-A-28-20220312-12:47:41-16064,0,28,TARPNetwork.node[12].generic.np,NaN,295,0,0,NaN
RandomWaypointMobility-SPD-A-8-20220312-12:44:10-16064,0,8,TARPNetwork.node[25].generic.np,0,477,0,0,363
RandomWaypointMobility-SPD-A-25-20220312-12:47:18-16064,0,25,TARPNetwork.node[24].generic.np,0,357,NaN,0,379
RandomWaypointMobility-SPD-A-25-20220312-12:47:18-16064,0,25,TARPNetwork.node[32].generic.np,0,357,0,0,183
RandomWaypointMobility-SPD-A-25-20220312-12:47:18-16064,0,25,TARPNetwork.node[31].generic.np,0,289,0,0,397
RandomWaypointMobility-SPD-A-25-20220312-12:47:18-16064,0,25,TARPNetwork.node[33].generic.np,0,411,0,0,285
RandomWaypointMobility-SPD-A-10-20220312-12:44:33-16064,0,10,TARPNetwork.node[4].generic.np,NaN,NaN,0,NaN,NaN
