run,PauseTime,repetition,Module,echoedPk:count,echoedPk:sum(packetBytes),packetReceived:count,packetReceived:sum(packetBytes),packets received,packets sent,packetSent:count,packetSent:sum(packetBytes)
RandomWaypointMobility-SPD-A-139-20220312-16:42:02-3304,120,19,TARPNetwork.node[17].app[0],NaN,NaN,78,78000,78,900,900,900000
RandomWaypointMobility-SPD-A-120-20220312-16:39:00-3304,120,0,TARPNetwork.node[17].app[0],NaN,NaN,265,265000,265,900,900,900000
RandomWaypointMobility-SPD-A-131-20220312-16:40:41-3304,120,11,TARPNetwork.node[17].app[0],NaN,NaN,315,315000,315,900,900,900000
RandomWaypointMobility-SPD-A-135-20220312-16:41:18-3304,120,15,TARPNetwork.node[17].app[0],NaN,NaN,257,257000,257,900,900,900000
RandomWaypointMobility-SPD-A-135-20220312-16:41:18-3304,120,15,TARPNetwork.node[22].app[0],391,391000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-126-20220312-16:39:54-3304,120,6,TARPNetwork.node[17].app[0],NaN,NaN,184,184000,184,900,900,900000
RandomWaypointMobility-SPD-A-124-20220312-16:39:37-3304,120,4,TARPNetwork.node[17].app[0],NaN,NaN,253,253000,253,900,900,900000
RandomWaypointMobility-SPD-A-127-20220312-16:40:02-3304,120,7,TARPNetwork.node[22].app[0],504,504000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-124-20220312-16:39:37-3304,120,4,TARPNetwork.node[22].app[0],433,433000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-146-20220312-16:43:07-3304,120,26,TARPNetwork.node[17].app[0],NaN,NaN,250,250000,250,900,900,900000
RandomWaypointMobility-SPD-A-146-20220312-16:43:07-3304,120,26,TARPNetwork.node[22].app[0],438,438000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-128-20220312-16:40:10-3304,120,8,TARPNetwork.node[17].app[0],NaN,NaN,197,197000,197,900,900,900000
RandomWaypointMobility-SPD-A-128-20220312-16:40:10-3304,120,8,TARPNetwork.node[22].app[0],296,296000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-139-20220312-16:42:02-3304,120,19,TARPNetwork.node[22].app[0],263,263000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-131-20220312-16:40:41-3304,120,11,TARPNetwork.node[22].app[0],476,476000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-120-20220312-16:39:00-3304,120,0,TARPNetwork.node[22].app[0],416,416000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-127-20220312-16:40:02-3304,120,7,TARPNetwork.node[17].app[0],NaN,NaN,333,333000,333,900,900,900000
RandomWaypointMobility-SPD-A-133-20220312-16:40:58-3304,120,13,TARPNetwork.node[17].app[0],NaN,NaN,329,329000,329,900,900,900000
RandomWaypointMobility-SPD-A-148-20220312-16:43:30-3304,120,28,TARPNetwork.node[17].app[0],NaN,NaN,325,325000,325,900,900,900000
RandomWaypointMobility-SPD-A-123-20220312-16:39:28-3304,120,3,TARPNetwork.node[17].app[0],NaN,NaN,284,284000,284,900,900,900000
RandomWaypointMobility-SPD-A-123-20220312-16:39:28-3304,120,3,TARPNetwork.node[22].app[0],411,411000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-133-20220312-16:40:58-3304,120,13,TARPNetwork.node[22].app[0],522,522000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-141-20220312-16:42:20-3304,120,21,TARPNetwork.node[22].app[0],561,561000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-SPD-A-141-20220312-16:42:20-3304,120,21,TARPNetwork.node[17].app[0],NaN,NaN,264,264000,264,900,900,900000
RandomWaypointMobility-SPD-A-132-20220312-16:40:51-3304,120,12,TARPNetwork.node[17].app[0],NaN,NaN,352,352000,352,900,900,900000
